id,affinity
5qaf,3.51
4y62,2.95
1o0o,5.1
2w5i,4.54
6nzp,9.7
4mre,2.19
5cls,6.66
4elh,8.09
1fd7,1.85
6cj5,5.19
6s9w,7.23
5oaj,6.56
3l0n,2.77
1uy9,4.82
5emb,5.2
1o4p,2.6
3ckz,8.72
2p94,9.17
5hg1,5.2
3f7z,7.19
1py5,7.29
2yoj,8.3
4o2p,6.7
4op2,5.93
1g9b,5.3
4msn,4.03
6mey,3.32
5op2,6.62
1ulg,4.21
6exm,5.52
6fav,5.33
2ql5,8.1
2vwu,6.46
3b67,8.85
6bhd,5.03
1o2j,6.92
1oe7,5.52
1oqp,7.3
2yc0,2.82
4pdk,8.22
3ow3,6.13
6q9y,5.43
3ni5,7.55
6hmb,6.56
4jin,5.64
1pzo,3.32
5ku6,6.84
5kly,7.21
5lt9,4.19
4c1h,4.09
5ni0,5.74
4edy,5.83
5vc6,7.87
3opm,6.62
2viv,6.28
3wkc,3.71
5vtb,6.96
4dfn,7.7
4pox,5.43
3fz1,7.92
2fjp,8.37
5c1w,5.06
6uhv,6.92
1n46,10.52
4e8y,6.09
1uyg,4.27
1gfz,4.0
5acy,8.19
5xff,8.21
2gm9,7.39
6n95,5.12
1jik,9.7
5qa5,3.52
4qgi,3.9
1h4n,4.92
4kva,3.94
2xn6,8.8
6nyw,6.64
3tza,5.5
4bxn,8.0
4yp8,7.89
4hw2,7.26
3okh,5.24
5syn,6.62
1o0m,5.15
4ryl,7.28
2bdl,7.82
3iqj,4.93
4yax,5.82
5f8y,4.24
3vje,8.01
6dki,8.64
4b6q,7.55
3hrb,7.68
6i18,4.07
6ibs,4.96
4k5y,8.17
4amx,2.19
2vx0,6.24
6got,9.4
5vc4,7.36
2wxh,8.05
1xdg,7.3
3k8o,11.07
5dus,5.53
4anm,7.55
6qts,4.8
2wzm,5.22
5hx8,10.0
3wb4,4.44
1uym,6.0
2p0d,7.0
1bhf,4.38
5ave,5.44
5cte,7.8
6g22,7.56
2vie,7.48
